Series,Domain,Culture,Experiment,Age,Run,Alpha 1,Metric 1,Alpha 2,Metric 2
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,0,1.0,0.2625964539106115,1.15,1.7466434060909308
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,1,1.04,0.2477124313165585,1.2,1.7465455625491102
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,2,1.1,0.2957631413976892,0.8,1.6951728542994426
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,3,1.0,0.2399828521487673,1.15,1.7471703740505835
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,4,1.02,0.2513072818902505,1.2,1.7456493921655518
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,5,1.06,0.2497338799312939,1.2,1.737597520746054
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,6,0.98,0.2471467604224832,1.2,1.746781606258533
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,7,1.0,0.249082066989164,1.15,1.7467355250923997
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,8,1.04,0.2600040350609375,0.8,1.7297407174159023
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,9,1.04,0.2470871101195605,1.2,1.7438871410960055
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,10,1.02,0.2494128380354447,1.2,1.7451123936970667
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,11,1.04,0.2458546384043167,1.2,1.7464236240271949
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,12,1.04,0.2603719478790495,1.2,1.7446874464950315
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,13,1.02,0.2491628206353033,1.2,1.740801411686616
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,01,14,1.06,0.2481437854608568,1.2,1.7364967427918487
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,0,1.0,0.2554222969018688,1.2,1.7400889110169753
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,1,1.0,0.2234180038707749,1.1,1.7468761616992388
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,2,1.02,0.176226752600027,0.8,1.7277471900650525
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,3,1.0,0.2576674434442421,1.2,1.7425523529227849
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,4,1.1,0.1790569199447253,1.1,1.7301498869102765
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,5,0.98,0.2441321292075291,1.15,1.7464607000943082
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,6,0.96,0.2480692008420423,1.1,1.746499103209036
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,7,0.98,0.2450108894286725,1.15,1.7463650247755325
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,8,0.98,0.2690596307557448,1.2,1.7415023273058552
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,9,0.94,0.248308104174196,1.1,1.7471124908032425
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,10,1.0,0.2716643119437639,1.2,1.7355189179389854
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,11,1.15,0.1837850388338311,1.1,1.7256526239182772
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,12,0.96,0.244683571593347,1.15,1.745958650392922
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,13,0.98,0.2732111317705584,1.15,1.737425515080815
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,02,14,0.96,0.2456845574484225,1.15,1.745992016026482
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,0,0.98,0.2441880259027457,1.2,1.7460540459142415
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,1,0.92,0.2462334187652065,1.08,1.747081320787343
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,2,0.94,0.2441169171020844,1.15,1.7466797078205722
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,3,0.94,0.2488897782986555,1.08,1.7467729462610844
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,4,0.94,0.2699983583646038,1.08,1.7454315883638756
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,5,0.94,0.2770386127527228,1.15,1.745110805799774
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,6,0.98,0.2467883069312399,1.2,1.7456494393472153
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,7,0.98,0.2253179300080512,1.1,1.7469002980233106
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,8,0.98,0.2486632510822706,1.06,1.7428332017555843
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,9,0.96,0.2485201490409179,1.1,1.7459526688241342
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,10,0.9,0.2413675527571261,1.1,1.746894877882496
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,11,0.96,0.2542587563766517,1.1,1.7456014482024798
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,12,0.98,0.2469291894236163,1.2,1.7451127657498406
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,13,0.92,0.2516814886707916,1.1,1.746931240592147
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,14,0.94,0.2488847514601769,1.15,1.7466122914934936
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,0,0.85,0.2066705442639806,0.98,1.746810932941763
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,1,0.8,0.2456750769098517,0.98,1.7458058181243914
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,2,0.85,0.2381479935932478,0.98,1.7464168742600747
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,3,0.85,0.2243436484354324,0.96,1.7467232111171564
