Series,Domain,Culture,Experiment,Age,Run,Alpha 1,Metric 1,Alpha 2,Metric 2
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,0,0.98,0.1601555805919189,1.2,1.769227038952368
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,1,0.98,0.2319917877042629,1.2,1.7687248153530188
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,2,0.98,0.1621530958033322,1.2,1.771683269085583
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,3,0.9,0.193104440746739,1.2,1.7715646679449186
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,4,0.98,0.1945417875663277,1.2,1.7680004168135697
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,5,1.0,0.2095082679432454,1.2,1.760584043138281
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,6,1.06,0.2379193738123294,1.2,1.693766550912725
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,7,0.96,0.1710790303647345,1.2,1.770044756914679
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,8,0.98,0.1634871180105371,1.2,1.7702733239984862
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,9,1.0,0.2301188870696755,1.2,1.6986476280142573
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,10,0.98,0.1866383292451791,1.2,1.7694445872827196
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,11,0.98,0.2137190346873235,1.2,1.7512413934624576
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,12,1.0,0.2152197788298405,1.15,1.737634195026136
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,13,0.94,0.1603983203929775,1.2,1.7708391093823603
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,01,14,1.0,0.2273498056637991,0.8,1.7267575583700894
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,0,1.15,0.2116066272448467,0.8,1.72090900533434
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,1,1.15,0.1769008688704863,0.8,1.7437047523973246
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,2,1.0,0.1629015874775971,0.8,1.7633221327287385
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,3,1.15,0.1953574886425443,0.8,1.7586549531033728
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,4,0.94,0.1689642762179438,0.8,1.7631873911790774
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,5,1.02,0.2121997893398297,0.8,1.7633028049592414
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,6,1.1,0.2179739044946972,0.8,1.7505120195231516
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,7,1.15,0.1737545964128093,0.8,1.7412507158640014
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,8,1.15,0.1997719589669239,0.8,1.749684061081273
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,9,1.1,0.1085897277020958,0.8,1.7609929706123952
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,10,1.06,0.1969204093220989,0.8,1.7633473407988451
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,11,1.1,0.1650719401120696,0.8,1.7629661482466634
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,12,1.1,0.1988885437453167,0.8,1.7629196155252689
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,13,1.1,0.2027315697660667,0.8,1.7558185286797268
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,02,14,1.08,0.1663603122595838,0.8,1.7633473383719462
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,03,0,1.02,0.2026153458524739,1.2,1.7674815717613988
